date,Country,Continent,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,vaccine,total_vaccinations
2021-01-03,Argentina,South America,60464,1690372,1103,48610,Moderna,2
2021-01-03,Argentina,South America,60464,1690372,1103,48610,AstraZeneca,6
2021-01-03,Argentina,South America,60464,1690372,1103,48610,Sinopharm,1
2021-01-03,Argentina,South America,60464,1690372,1103,48610,Sputnik V,47266
2021-01-10,Argentina,South America,84733,1775105,1415,50025,Moderna,2
2021-01-10,Argentina,South America,84733,1775105,1415,50025,AstraZeneca,7
2021-01-10,Argentina,South America,84733,1775105,1415,50025,Sinopharm,10
2021-01-10,Argentina,South America,84733,1775105,1415,50025,Sputnik V,136034
2021-01-17,Argentina,South America,77946,1853051,1300,51325,Moderna,2
2021-01-17,Argentina,South America,77946,1853051,1300,51325,AstraZeneca,8
2021-01-17,Argentina,South America,77946,1853051,1300,51325,Sinopharm,19
2021-01-17,Argentina,South America,77946,1853051,1300,51325,Sputnik V,233025
2021-01-24,Argentina,South America,79316,1932367,1260,52585,Moderna,2
2021-01-24,Argentina,South America,79316,1932367,1260,52585,AstraZeneca,22
2021-01-24,Argentina,South America,79316,1932367,1260,52585,Sinopharm,23
2021-01-24,Argentina,South America,79316,1932367,1260,52585,Sputnik V,303080
2021-01-31,Argentina,South America,61185,1993552,1131,53716,Moderna,2
2021-01-31,Argentina,South America,61185,1993552,1131,53716,AstraZeneca,71
2021-01-31,Argentina,South America,61185,1993552,1131,53716,Sinopharm,25
2021-01-31,Argentina,South America,61185,1993552,1131,53716,Sputnik V,389626
2021-02-07,Argentina,South America,51269,2044821,948,54664,CanSino,3
2021-02-07,Argentina,South America,51269,2044821,948,54664,Moderna,2
2021-02-07,Argentina,South America,51269,2044821,948,54664,AstraZeneca,140
2021-02-07,Argentina,South America,51269,2044821,948,54664,Sinopharm,66
2021-02-07,Argentina,South America,51269,2044821,948,54664,Sputnik V,532955
2021-02-14,Argentina,South America,50744,2095565,935,55599,CanSino,3
2021-02-14,Argentina,South America,50744,2095565,935,55599,Moderna,2
2021-02-14,Argentina,South America,50744,2095565,935,55599,AstraZeneca,153
2021-02-14,Argentina,South America,50744,2095565,935,55599,Sinopharm,89
2021-02-14,Argentina,South America,50744,2095565,935,55599,Sputnik V,629016
2021-02-21,Argentina,South America,42687,2138252,797,56396,CanSino,3
2021-02-21,Argentina,South America,42687,2138252,797,56396,Moderna,2
2021-02-21,Argentina,South America,42687,2138252,797,56396,AstraZeneca,935
2021-02-21,Argentina,South America,42687,2138252,797,56396,Sinopharm,101
2021-02-21,Argentina,South America,42687,2138252,797,56396,Sputnik V,839697
2021-02-28,Argentina,South America,44701,2182953,831,57227,CanSino,3
2021-02-28,Argentina,South America,44701,2182953,831,57227,Moderna,2
2021-02-28,Argentina,South America,44701,2182953,831,57227,AstraZeneca,263527
2021-02-28,Argentina,South America,44701,2182953,831,57227,Sinopharm,121
2021-02-28,Argentina,South America,44701,2182953,831,57227,Sputnik V,1010370
2021-03-07,Argentina,South America,43723,2226676,884,58111,CanSino,3
2021-03-07,Argentina,South America,43723,2226676,884,58111,Moderna,2
2021-03-07,Argentina,South America,43723,2226676,884,58111,AstraZeneca,467234
2021-03-07,Argentina,South America,43723,2226676,884,58111,Sinopharm,203265
2021-03-07,Argentina,South America,43723,2226676,884,58111,Sputnik V,1115559
2021-03-14,Argentina,South America,50279,2276955,977,59088,CanSino,3
2021-03-14,Argentina,South America,50279,2276955,977,59088,Moderna,2
2021-03-14,Argentina,South America,50279,2276955,977,59088,AstraZeneca,547670
2021-03-14,Argentina,South America,50279,2276955,977,59088,Pfizer-BioNTech,1
2021-03-14,Argentina,South America,50279,2276955,977,59088,Sinopharm,581164
2021-03-14,Argentina,South America,50279,2276955,977,59088,Sputnik V,1443321
2021-03-21,Argentina,South America,51631,2328586,994,60082,CanSino,3
